#{"t_start": 1765339557.8015175, "env_id": "Ant-v5"}
r,l,t
-32.200457,28,90.337985
6.709212,54,90.383066
-57.633519,88,90.45687
10.551566,24,90.477409
-23.086602,28,90.5011
3.817454,17,90.515357
-40.237175,103,90.602007
-48.058711,58,90.650659
-51.29682,77,90.715309
-35.727128,32,90.74218
-26.055815,56,90.789157
-18.576569,36,90.819511
14.378435,38,90.851559
-28.693905,43,90.88792
-82.412251,136,91.259054
-22.326614,37,92.15386
-40.382139,46,92.195869
-48.135482,60,92.246783
-13.35133,15,92.259321
-12.9364,27,92.282046
-20.008037,17,92.296325
-42.125307,101,92.381473
-9.818791,16,92.395018
-1.565614,25,92.416107
-36.065888,28,92.439802
-17.94647,20,92.456733
-25.825189,73,92.518073
-29.459837,28,92.541639
-2.244655,13,92.552668
-7.01396,30,92.577912
8.619836,55,92.624046
-62.132388,78,92.689152
-9.35262,20,92.70598
-19.32687,21,92.723765
-2.419188,13,92.734728
-64.088315,77,92.799178
-13.512951,15,92.811805
-28.668768,34,92.840437
-3.798026,19,92.856612
-8.203691,36,92.886924
-13.210598,12,92.896986
-6.985408,9,92.90454
-17.766982,17,92.918818
-44.833024,41,92.953435
-17.052743,47,92.992797
-29.210703,28,93.016459
-27.168334,33,93.044142
-22.593853,21,93.061884
-12.766333,18,93.077128
-9.557188,51,93.119668
-44.593805,36,93.14988
-9.006994,12,93.160039
-1.725979,20,93.176854
-9.293704,16,93.190457
-12.250196,43,93.226481
-5.994574,17,93.241063
-22.484895,18,93.256202
-85.321761,77,93.321193
-29.278413,45,93.359084
-49.299101,57,93.406897
-155.679368,134,93.519404
-7.681424,22,93.537891
-44.288782,34,93.566406
-30.112429,33,93.594342
-8.651581,14,93.606208
-5.567764,48,93.646541
-6.720268,21,93.664243
-403.078721,467,94.318091
-95.948053,79,94.384911
3.249111,17,94.399312
-13.21742,24,94.419513
-753.672846,1000,95.276313
-12.852579,28,95.299898
20.302897,49,95.341278
-19.808895,20,95.358101
-20.043504,16,95.37194
4.371056,16,95.385715
-86.715341,52,95.429863
13.202892,41,95.464998
-5.530489,46,95.504583
-29.717736,39,95.537442
-27.341831,50,95.579669
-22.249905,33,95.607419
-7.707817,22,95.626243
-5.545754,40,95.659765
-17.095411,42,95.69484
-14.895284,25,95.715844
-23.726848,37,95.746779
-15.130163,18,95.761947
-23.982032,38,96.050767
-101.265697,108,96.142309
-27.163503,29,96.166835
24.248501,64,96.220827
-1.92703,11,96.23024
-9.886836,26,96.25227
-7.112479,13,96.263356
-23.010124,14,96.275105
-3.149801,12,96.285296
-24.05433,34,96.313818
-79.260435,54,96.359632
-27.89571,57,96.407395
-48.502297,71,96.466904
-1.603821,18,96.482173
-17.521861,49,96.52354
2.216263,18,96.538777
-40.327229,87,96.612183
12.77627,35,96.641692
-9.859841,18,96.656783
-15.888813,57,96.704726
-5.748542,14,96.716483
3.133534,19,96.732444
-8.034296,15,96.745162
-39.535134,32,96.772157
-8.419035,12,96.782233
3.440069,34,96.810737
-32.257434,30,96.835907
-5.311562,62,96.888309
-55.348007,139,97.005981
0.138148,15,97.018514
-51.560808,62,97.070719
-20.818754,49,97.112696
-11.52483,20,97.129561
22.519353,36,97.160058
-40.780525,54,97.205411
-9.340121,41,97.239932
-24.908458,18,97.255275
-2.596455,46,97.293942
-15.627375,21,97.311378
-3.065023,22,97.329946
-81.898603,103,97.416694
-40.964736,62,97.468959
-5.00388,13,97.47986
-34.180629,91,97.556281
-11.443231,16,97.569887
-21.805699,16,97.583455
-78.557868,116,97.680648
-12.688805,21,97.698321
-15.223323,31,97.724386
-35.657005,58,98.029444
-105.873027,104,98.116724
-51.015852,49,98.157937
-9.490947,18,98.173249
-20.28658,53,98.217712
-17.022475,53,98.262119
-9.062467,12,98.272317
-1.857112,26,98.294335
-12.895585,15,98.306916
-91.933415,85,98.379138
-12.678708,37,98.410388
-19.312932,48,98.450675
-22.077285,31,98.476859
-29.796198,23,98.496299
2.524604,28,98.52006
11.589215,12,98.530135
-74.191493,140,98.647778
-19.366473,26,98.66957
-1.435701,28,98.693354
-8.495124,11,98.70263
-2.26863,27,98.725256
-7.074288,39,98.758227
3.446931,14,98.770033
-113.877473,132,98.88093
-21.724119,34,98.909623
-7.234654,16,98.923
-93.500498,137,99.038383
-4.297091,40,99.07216
2.019657,21,99.089775
-6.874352,19,99.106086
-30.054374,30,99.131211
-22.40538,18,99.14646
15.925518,42,99.181535
-111.551163,125,99.287025
-39.729721,41,99.32165
19.976306,35,99.351067
-12.597531,54,99.396551
-113.369997,120,99.497906
-34.155178,40,99.532317
-39.552336,22,99.550896
-18.491743,46,99.589861
-60.692254,102,99.675448
-30.32656,41,99.709845
-33.94132,55,100.011185
-3.039428,45,100.049392
-0.673492,27,100.072147
-19.138578,17,100.086379
-133.992666,100,100.17048
-10.658357,20,100.187401
-2.007841,15,100.199993
9.271601,67,100.255931
-57.84987,70,100.314904
-10.832311,87,100.387872
-33.409091,78,100.453578
-12.336498,20,100.470246
-36.181572,58,100.518992
-41.922307,41,100.553916
-68.200853,76,100.618399
-42.224705,53,100.663291
-24.289018,26,100.685157
-8.133592,31,100.711253
4.594995,49,100.752804
-14.135544,52,100.796532
-26.22192,57,100.844655
-27.043609,36,100.874944
7.583715,17,100.889346
-16.661835,18,100.904641
-18.279839,35,100.934007
-16.943301,55,100.980394
-1.515719,13,100.99141
-11.734637,28,101.014865
-9.420332,55,101.061114
-0.092878,26,101.083131
-31.007801,33,101.111026
11.242082,33,101.138826
-64.310423,38,101.17102
-5.096172,33,101.198784
-32.510461,88,101.27293
-13.807228,57,101.321203
-22.43248,31,101.347063
-2.341492,38,101.379691
-25.96466,44,101.416741
-24.003152,20,101.433973
-5.015354,102,101.519609
-5.019014,26,101.541726
-17.528132,19,101.55777
-453.006873,565,102.413247
-28.310753,38,102.445406
-21.000299,46,102.484846
-5.504942,21,102.502577
-15.556862,12,102.512635
-27.376212,46,102.551245
-19.983216,21,102.568885
-14.102341,35,102.599016
27.040533,49,102.640134
-15.882238,24,102.660206
-21.849569,21,102.677907
-28.33794,31,102.704025
-39.872382,27,102.726833
-86.004852,89,102.801783
-10.875647,11,102.811034
-8.609101,13,102.821953
-13.880716,20,102.838554
-37.427349,49,102.879775
-22.934,32,102.907069
-23.73303,30,102.93206
-12.794161,20,102.948813
-48.926202,39,102.981904
-13.441758,17,102.996596
-81.331529,119,103.096305
-94.056906,66,103.151742
