#{"t_start": 1764885283.7526534, "env_id": "Ant-v5"}
r,l,t
-4.448621,13,929.435093
-3.331282,23,929.468643
-6.76987,17,929.497306
-16.455856,71,929.608709
2.868242,78,929.726532
-24.04295,31,929.783815
-15.23638,35,929.837537
78.636233,208,930.15808
-8.714585,15,930.181177
4.863082,15,930.203997
-20.658334,61,930.295754
-4.326682,34,930.347804
20.982136,1000,931.916397
30.461004,25,931.954903
2.179774,44,932.022406
43.324631,107,932.191593
10.074885,72,932.303784
-2.244498,116,932.486455
16.748868,21,932.517938
27.277009,91,932.658323
-27.454108,120,932.8449
4.388741,83,932.980305
6.543928,81,933.102406
36.677777,132,933.309455
-43.789507,492,934.166297
75.420365,1000,935.762687
-15.865514,28,935.806891
-24.367904,1000,937.365148
3.621187,38,937.42081
1.154067,152,937.654918
67.848915,1000,939.402213
-36.587215,48,939.480531
-0.691343,53,939.562215
-64.144073,50,939.637904
-21.361138,38,939.693607
-29.977497,33,939.743915
-24.60521,18,939.772239
-14.077307,45,939.840141
-6.036584,23,939.87305
-40.804869,149,940.108336
-9.483178,20,940.138683
-18.149496,34,940.194206
-13.810561,17,940.221777
56.423541,186,940.500675
430.422508,1000,942.07686
239.266901,1000,943.639213
312.024429,1000,945.23386
193.617664,368,945.806623
552.224774,1000,947.374826
449.519182,1000,948.935393
-25.921776,55,949.020124
60.146384,63,949.11773
-11.987102,27,949.158251
402.53199,1000,950.726123
-11.792113,178,950.998405
324.66127,1000,952.558697
47.438689,217,952.896624
-72.231241,140,953.117983
183.302327,1000,956.323125
6.35247,18,956.352011
10.043598,153,956.585375
27.46335,117,956.77153
313.665771,1000,958.353274
91.79163,1000,959.956666
256.628952,1000,961.541853
505.907001,1000,963.103023
353.063031,1000,964.672218
111.905396,285,965.105477
438.182185,1000,966.652498
337.386334,1000,968.219133
540.694824,1000,969.772631
7.918664,1000,971.38646
287.053251,1000,976.793879
48.414526,420,977.447039
-15.11044,53,977.525275
-2.211579,148,977.748031
-9.582805,55,977.833102
-14.871941,59,977.929835
-11.129115,251,978.313147
91.083781,1000,979.876121
187.020884,689,980.969033
564.846722,1000,982.550303
395.348536,1000,984.142557
433.881929,1000,985.713189
361.952678,1000,987.303034
258.802662,1000,988.902605
11.031554,87,989.04
494.197578,1000,990.61334
312.319914,1000,994.009457
45.090464,232,994.358987
303.994105,1000,995.905935
50.636132,172,996.170686
93.813998,320,996.674399
15.871112,78,996.794329
175.32964,1000,998.347084
8.155336,18,998.376972
8.947758,172,998.658363
414.139529,1000,1000.343426
39.527441,1000,1001.933028
237.074926,807,1003.295601
24.438472,133,1003.503633
373.610643,1000,1005.056808
386.220891,1000,1006.610196
84.378653,379,1007.188601
186.68853,297,1007.652961
68.734001,1000,1010.657596
183.709982,1000,1012.193694
166.918192,1000,1013.743104
87.938183,1000,1015.299655
289.953146,1000,1016.86663
222.610433,1000,1018.403752
456.879088,1000,1019.959438
329.476038,1000,1021.537387
348.168076,1000,1023.116743
31.781337,68,1023.218591
55.5005,78,1023.338255
438.945232,1000,1024.895301
564.196964,1000,1030.279808
586.760408,1000,1031.840621
560.373729,1000,1033.416904
49.468448,89,1033.553703
347.015926,1000,1035.143988
236.264255,399,1035.769769
41.111494,106,1035.932975
488.626475,1000,1037.498826
569.79455,1000,1039.04354
183.111862,1000,1040.63472
69.126705,74,1040.751014
19.82391,33,1040.80377
-1.051781,27,1040.843844
-10.448736,38,1040.90474
67.318025,129,1041.100378
2.713704,62,1041.195133
11.263388,40,1041.258414
23.414336,44,1041.328329
21.302861,29,1041.372532
10.920301,17,1041.397082
57.843131,233,1041.760048
14.019791,32,1041.80699
143.783408,1000,1043.389195
170.507542,439,1044.078372
101.449458,281,1044.507054
56.610776,88,1044.651309
0.162615,28,1044.696739
56.677746,1000,1048.53043
52.661247,1000,1050.079606
317.022035,1000,1051.630124
7.116663,179,1051.899324
80.390587,235,1052.269874
321.582603,1000,1053.821938
48.370165,53,1053.904702
70.64625,176,1054.185144
21.664258,44,1054.255786
123.418782,519,1055.074341
60.472621,330,1055.586924
24.657591,1000,1057.153945
-10.47524,19,1057.180671
-21.03153,55,1057.264375
-15.241115,57,1057.356234
-35.274708,47,1057.428363
-10.159165,18,1057.456674
2.469949,10,1057.471775
0.042717,32,1057.518871
1.392067,31,1057.565562
-252.647996,1000,1059.128359
-561.421766,1000,1060.695997
-2.696552,18,1060.724577
-2.982554,26,1060.763145
-2.800526,58,1060.851924
0.702192,47,1060.921675
-5.491782,16,1060.945346
-2.19991,15,1060.97683
-28.31808,88,1061.116498
16.022069,22,1061.150179
-9.966277,13,1061.1719
1.80183,13,1061.19302
5.031719,14,1061.211913
-36.806591,26,1061.253568
3.879851,12,1061.270489
12.260254,26,1061.309304
34.793936,41,1061.370507
-18.708882,37,1061.42802
11.749625,24,1061.46488
-9.383984,17,1061.489537
-2.369075,14,1061.51146
-418.701096,1000,1063.074028
-23.488402,40,1063.134809
-7.801807,27,1063.17754
14.965098,65,1063.28021
-20.345658,26,1064.215739
-11.276225,17,1064.243656
-15.259146,17,1064.268548
-6.466886,14,1064.29384
0.360377,14,1064.349213
-0.054245,28,1064.393476
-6.357055,28,1064.43764
-27.483455,23,1064.474176
-11.239551,14,1064.493377
-118.685417,83,1064.622106
3.409457,14,1064.6445
-8.341634,16,1064.669798
-15.250588,18,1064.699785
-35.639148,33,1064.748824
-2.807133,34,1064.801587
-35.469622,26,1064.842521
-10.055005,27,1064.885897
-22.452597,17,1064.911169
-15.631453,17,1064.936259
-17.850635,17,1064.964049
-55.920371,26,1065.007499
-15.266856,16,1065.034997
-18.412534,34,1065.087591
-6.604422,17,1065.112834
-8.831413,20,1065.143448
-3.379236,15,1065.166479
-4.36979,15,1065.189701
-0.809777,15,1065.212656
-20.544695,24,1065.250204
-20.288539,14,1065.272281
-8.78021,18,1065.301857
-31.092764,25,1065.346388
-16.406933,27,1065.386896
-38.043844,25,1065.425051
-13.038612,17,1065.449906
-16.392477,17,1065.477724
-13.520831,17,1065.50259
-0.050619,16,1065.526584
-14.773138,18,1065.555493
-32.653742,24,1065.592916
-61.642618,90,1065.731117
-771.296083,1000,1067.31864
-5.450691,24,1067.361103
-28.879869,17,1067.391549
-12.518541,14,1067.415561
-624.33871,1000,1069.016092
-31.604441,27,1069.05818
-34.13725,64,1069.156741
-13.888031,16,1069.180994
15.675266,89,1069.318224
-25.661456,71,1069.430378
-0.570638,36,1069.484928
-20.515188,86,1069.618917
-15.100768,25,1069.657507
-14.060865,13,1069.676137
-5.565496,14,1069.698301
-762.975637,1000,1071.376092
-26.08586,20,1071.413
-25.359387,16,1071.4433
-7.628459,14,1071.472569
-11.896889,19,1071.503202
-16.116859,15,1071.526628
-8.785758,36,1071.586601
-13.684301,22,1071.620255
-22.422605,14,1071.642451
-6.06125,21,1071.674528
-47.131603,40,1071.735851
-28.713362,37,1071.794444
-24.443139,23,1071.828374
-31.444357,25,1071.868504
-1099.792045,1000,1073.481898
-25.580266,15,1073.50624
-14.203073,15,1073.530648
-13.69087,13,1073.551778
-27.961135,15,1073.574864
-4.010606,13,1073.596036
-16.151815,14,1073.615629
-20.640262,14,1073.637799
-12.644255,14,1073.659921
-19.215592,17,1073.685286
-21.388211,16,1073.712314
-21.288335,14,1073.731569
-11.419379,12,1073.752733
-13.872271,13,1073.771902
-54.594463,73,1073.896863
-9.543126,14,1073.919159
-66.743979,56,1074.008246
-4.880027,15,1074.032577
-20.093959,15,1074.056092
-12.081336,15,1074.079216
-21.36658,24,1074.116757
-26.648454,23,1074.150232
